"key","avg","std","len(val)"
"Arcades",2.9464285714285716,1.0140907760357631,14
"Gluten-Free",2.5925925925925926,0.6740842490074553,81
"Cosmetics & Beauty Supply",2.3529411764705883,0.807708679082553,102
"Malaysian",2.2058823529411766,0.7462420268450161,34
"Women's Clothing",2.6232394366197185,1.009526139917708,71
"Parks",2.1323529411764706,1.0294117647058822,17
"Portuguese",2.3248407643312103,0.6223446575115542,157
"Ice Cream & Frozen Yogurt",2.0662100456621006,0.8924210422280581,219
"Shopping",2.2916666666666665,0.9685905920680495,78
"Bakeries",2.081408775981524,0.911902106500386,866
"Thrift Stores",1.4772727272727273,0.4821182598999188,11
"Donuts",2.0416666666666665,0.821795121804834,30
"Delis",2.288011695906433,0.9466868171088932,342
"Hot Dogs",2.1875,0.5412658773652742,16
"Flowers & Gifts",2.5416666666666665,1.0449946836653712,30
